Model Details
Model: MooneyRivlin, Initial Guess: 1,1, Bounds: [u, n], RMSE: 0.082, BIC: -2011.927

Predictions
Note2: test

Note: link

x,y_original,MooneyRivlin_ypred
1.56767,7.660207138,7.73303584997066
1.5724,7.752947681,7.826419237993585
1.5771,7.846494098,7.920193894889655
1.58179,7.940737013,8.01475600886012
1.58645,8.034004932,8.10969935744971
1.59109,8.130201721,8.205221431287828
1.59571,8.224934434,8.301319046611013
1.60031,8.322627731,8.397988917534477
1.60488,8.418994919,8.495014261944092
1.60944,8.515965836,8.592816199362789
1.61397,8.614755982,8.690962153699534
1.61849,8.712978612,8.789881734838081
1.62298,8.812793787,8.889133418275906
1.62746,8.912632546,8.989155391692789
1.63191,9.011427738,9.089497093014709
1.63635,9.113023721,9.190605373962974
1.64076,9.215475793,9.29202054726021
1.64516,9.317456589,9.394198213660605
1.64953,9.421814766,9.496669474651776
1.65389,9.523973895,9.59989876369316
1.65823,9.6271059,9.70364808671648
1.66255,9.732527014,9.807912696675448
1.66685,9.838669579,9.91268774060638
1.67113,9.944231604,10.01796825953408
1.6754,10.04975744,10.1239986721368
1.67964,10.15723082,10.230277183927594
1.68387,10.2621792,10.337299854029482
1.68808,10.37022718,10.44481184380216
1.69227,10.47801848,10.552807691712072
1.69645,10.58704408,10.661543157976297
1.70061,10.69533577,10.770756039561368
1.70475,10.79013529,10.880440582764457
1.70887,10.90835986,10.990590926982707
1.71298,11.01742314,11.10147210554159
1.71707,11.11865719,11.212811927750849
1.72114,11.20507195,11.324604239269526
1.7252,11.3305925,11.437121147127286
1.72924,11.44498909,11.550082863511937
1.73326,11.55640275,11.663482939354628
1.73727,11.66205344,11.777600650401244
1.74126,11.78880966,11.892148513641567
1.74524,11.90763464,12.007410648242793
1.7492,12.0271772,12.123094396017555
1.753143333,12.14613746,12.239291459862729
1.75707,12.26599594,12.355997378801243
1.76099,12.38500329,12.473508600139478
1.76489,12.50340091,12.591423347313363
1.76877,12.62264563,12.70973430765472
1.77264,12.74434458,12.828742875080438
1.77649,12.86440578,12.948137915092946
1.78033,12.98491345,13.068225855870642
1.784153333,13.10764009,13.188795737130699
1.78796,13.23100086,13.309842427594518
1.79176,13.35307865,13.431682600834385
1.79554,13.47602588,13.553886080812864
1.79931,13.60100276,13.676772087563961
1.80306,13.72732239,13.800010505582746
1.8068,13.8507008,13.923925741542748
1.81052,13.97765416,14.048182153795308
1.81423,14.10236202,14.173109376073894
1.81793,14.22888912,14.298707015593022
1.82161,14.35744259,14.424631076749147
1.82528,14.48575719,14.551219130181662
1.82894,14.61386027,14.678470606964748
1.83258,14.74488811,14.806033056797885
1.83621,14.87400577,14.93425208520284
1.83983,15.0036865,15.063126945201345
1.84343,15.1310477,15.192296633214736
1.84702,15.26506803,15.322114885924279
1.8506,15.39507179,15.452580776582696
1.854163333,15.52812368,15.583447531919134
1.85772,15.6586523,15.715079997457138
1.86126,15.79598509,15.847105515659006
1.864783333,15.9290623,15.979517217155088
1.8683,16.06128308,16.112688304937006
1.8718,16.19785175,16.246237337676956
1.87529,16.33397077,16.38041448894985
1.87877,16.4707471,16.515218370901273
1.88224,16.60710197,16.650647546753675
1.88569,16.74283829,16.786305847784305
1.88913,16.87956842,16.922580530737193
1.89256,17.0196378,17.05946997348482
1.89598,17.15884957,17.19697250426842
1.89939,17.29917562,17.33508640149852
1.90279,17.43881669,17.473809893559284
1.90617,17.5781265,17.612728653365686
1.90954,17.71996894,17.752247293562885
1.9129,17.8595477,17.892363855122678
1.91625,18.00392551,18.033076328420215
1.91959,18.14799427,18.17438265306299
1.92292,18.29093424,18.31628071772391
1.92624,18.43543883,18.458768359978457
1.92954,18.57891027,18.601409579774046
1.93284,18.72429797,18.745066596054592
1.93612,18.87044955,18.888866416822594
1.9394,19.01577477,19.033683493846187
1.94266,19.16399294,19.178632349455125
1.94591,19.31075533,19.324150443161837
1.94915,19.45821193,19.4702352165719
1.95238,19.60596054,19.61688405926984
1.9556,19.75565598,19.76409430870066
1.95881,19.90587982,19.911863250056125
1.96201,20.05661857,20.060188116165588
1.9652,20.20625663,20.20906608739141
1.96838,20.35506172,20.358494291529333
1.97155,20.50711093,20.50846980371333
1.97471,20.66206905,20.658989646325452
1.97786,20.81357113,20.81005078891039
1.981,20.96593331,20.961650148094968
1.98413,21.11753455,21.113784587512587
1.98725,21.27267321,21.266450917732538
1.99036,21.42810388,21.419645896194368
1.99346,21.5835812,21.57336622714731
1.99655,21.73935442,21.7276085615947
1.99964,21.89364903,21.882873629751472
2.00271,22.05107949,22.038153030828784
2.00577,22.20832015,22.19394407861706
2.00882,22.36681519,22.350243210608166
2.01187,22.52478764,22.507564294514776
2.0149,22.68179832,22.664872053689166
2.01793,22.84140877,22.823201123563972
2.02095,23.002132,22.98203027357693
2.02395,23.16488677,23.14082468607474
2.02695,23.32466146,23.30063912967867
2.02994,23.48445364,23.46094208003562
2.03292,23.64916709,23.62172957496954
